"","PRICE($)","BRAND","MILEAGE (kms)","COLOR","YEAR","CONTINENT"
"1",7800,"Mitsubishi Lancer GLX","214324","Black",2005,"Asia"
"2",8500,"Chevrolet Spark","168922","Silver",2016,"North America"
"3",8800,"Suzuki Alto 800","81677","Blue",2020,"Asia"
"4",9800,"Suzuki Alto 800","103316","Blue",2021,"Asia"
"5",9800,"Suzuki Alto 800","127422","Green",2021,"Asia"
"6",9800,"Mitsubishi Lancer EX","186285","White",2007,"Asia"
"7",9800,"Suzuki Grand Vitara","413408","White",2008,"Asia"
"8",10500,"Hyundai Atos","197804","Gray",2020,"Asia"
"9",10800,"Suzuki Celerio GLX","160189","Silver",2019,"Asia"
"10",10800,"Suzuki Alto 800","85024","Gray",2022,"Asia"
"11",10800,"Hyundai Atos","136051","Red",2020,"Asia"
"12",10800,"Kia Rio","156819","Red",2013,"Asia"
"13",10800,"Hyundai Accent","162080","Red",2015,"Asia"
"14",10800,"Kia Sportage","223003","Green",2009,"Asia"
"15",10800,"Volkswagen Vento GP","176851","Red",2016,"Europe"
"16",11500,"Hyundai Grand i10","117724","White",2020,"Asia"
"17",11500,"Ford Fiesta Sport","150188","Blue",2016,"North America"
"18",11800,"Hyundai Veloster","216068","Red",2012,"Asia"
"19",11800,"Kia Rio","192831","Red",2014,"Asia"
"20",11800,"Nissan Presage","153147","White",2008,"Asia"
"21",11800,"Hyundai Atos","53173","Silver",2021,"Asia"
"22",11800,"Suzuki S-Presso","176285","Red",2020,"Asia"
"23",11800,"Suzuki S-Presso","59152","Orange",2020,"Asia"
"24",11800,"Hyundai Tucson","291784","Gray",2010,"Asia"
"25",11800,"Hyundai Atos","64710","Blue",2021,"Asia"
"26",11800,"MG 3 MCE3 Core","99962","Red",2019,"Europe"
"27",11800,"Volkswagen Vento GP","206038","White",2017,"Europe"
"28",11800,"Citroen C3","121126","Black",2016,"Europe"
"29",12500,"Mazda 6","260118","Black",2012,"Asia"
"30",12500,"Kia Cerato Koup SX","260620","White",2011,"Asia"
"31",12500,"Volkswagen Passat","272493","Silver",2014,"Europe"
"32",12500,"Ford EcoSport","NA","Midnight Sky",2016,"North America"
"33",12800,"Mitsubishi Mirage","152504","White",2019,"Asia"
"34",12800,"Suzuki S-Presso","35837","Blue",2021,"Asia"
"35",12800,"Mitsubishi Attrage","149747","Silver",2016,"Asia"
"36",13500,"Mitsubishi Mirage","102315","White",2019,"Asia"
